date,n_sales,total_dollar_amount,n_existing_customer,type
2018-04-21,20,67.3961793957667,NA,Residential
2018-04-20,NA,263.9437428607322,4,Residential
2018-04-19,17,158.65543560442538,0,Residential
2018-04-18,17,19.75464054806314,NA,Residential
2018-04-17,15,NA,2,Residential
2018-04-16,21,200.2183629631229,6,Residential
2018-04-15,23,NA,4,Residential
2018-04-14,25,228.1215679157849,7,Residential
2018-04-13,22,328.24876785715185,4,Residential
2018-04-12,16,43.24997393956015,5,Residential
2018-04-11,16,134.8705996190633,NA,Residential
2018-04-10,18,67.37955945512675,0,Residential
2018-07-18,27,130.08107903130923,5,Commercial
2018-07-17,12,497.561505064493,5,Commercial
2018-07-16,25,159.29508993160772,8,Commercial
2018-07-15,15,234.6880290020783,2,Commercial
2018-07-14,23,386.5494642941516,3,Commercial
2018-07-13,NA,111.65001455479093,5,Commercial
2018-07-12,22,117.7282617076375,5,Commercial
2018-07-11,20,71.09881080194015,5,Commercial
2018-07-10,11,74.52481624387153,3,Commercial
2018-07-09,22,130.26669348081526,3,Commercial
2018-07-08,20,39.37336674706698,3,Commercial
2018-07-07,11,53.08604497377828,3,Commercial
2018-07-06,13,818.5969308670522,1,Commercial
2018-07-05,14,211.71329312683488,4,Commercial
2018-07-04,23,51.17613008670207,4,Commercial
2018-07-03,22,132.69662079639778,7,Commercial
2018-07-02,23,25.43480444918307,6,Commercial
2018-07-01,25,54.45334430165944,6,Commercial
2018-06-30,22,164.20179800136447,4,Commercial
2018-06-29,25,16.876190008294145,NA,Commercial
2018-06-28,NA,NA,NA,Commercial
2018-06-27,NA,472.95554812005554,2,Commercial
2018-06-26,14,51.13703001116817,4,Commercial
2018-06-25,24,908.3376292157715,5,Commercial
2018-06-24,NA,33.24763714845152,NA,Commercial
2018-06-23,23,109.53996364341414,NA,Commercial
2018-06-22,15,NA,1,Commercial
2018-06-21,NA,292.41563279829103,5,Commercial
2018-06-20,18,464.07841444445415,2,Commercial
2018-06-19,25,100.01258144582346,5,Commercial
2018-06-18,13,75.15117165525722,4,Commercial
2018-06-17,NA,168.87173257694727,NA,Commercial
2018-06-16,24,282.2274500495701,3,Commercial
2018-06-15,17,19.686059534930305,4,Commercial
2018-06-14,NA,145.94351889285412,4,Commercial
2018-06-13,17,152.5479305545865,3,Commercial
2018-06-12,27,60.90208343789328,NA,Commercial
2018-06-11,NA,NA,NA,Commercial
2018-06-10,NA,47.3877658191134,6,Commercial
2018-06-09,NA,197.58694580479082,6,Commercial
2018-06-08,18,77.11825494329699,1,Commercial
2018-06-07,19,66.3757506889086,4,Commercial
2018-06-06,NA,207.70981245000874,5,Commercial
2018-06-05,23,46.55879928797325,2,Commercial
2018-06-04,19,NA,2,Commercial
2018-06-03,28,465.2105933654327,5,Commercial
2018-06-02,22,79.19709291229795,NA,Commercial
2018-06-01,18,107.29579460637314,3,Commercial
2018-05-31,26,122.63320453496023,6,Commercial
2018-05-30,21,32.20827767650355,5,Commercial
2018-05-29,23,251.2160925017669,3,Commercial
2018-05-28,20,80.37782455623731,1,Commercial
2018-05-27,17,116.46739454235674,4,Commercial
2018-05-26,19,NA,2,Commercial
2018-05-25,23,170.53618701544661,4,Commercial
2018-05-24,22,230.15781921521318,NA,Commercial
2018-05-23,NA,145.86637145264052,2,Commercial
2018-05-22,NA,55.59391804088122,3,Commercial
2018-05-21,18,NA,4,Commercial
2018-05-20,22,350.88427700378656,4,Commercial
2018-05-19,21,26.886889007864458,4,Commercial
2018-05-18,17,39.54528259252337,2,Commercial
2018-05-17,17,259.1920147081588,4,Commercial
2018-05-16,20,28.787818866510804,0,Commercial
2018-05-15,15,117.92434514611799,NA,Commercial
2018-05-14,21,55.02504423953805,NA,Commercial
2018-05-13,18,103.81642730777637,NA,Commercial
2018-05-12,17,464.07365966766287,5,Commercial
2018-05-11,NA,245.62039147822762,2,Commercial
2018-05-10,21,68.54990338371832,3,Commercial
2018-05-09,20,274.82245650154255,1,Commercial
2018-05-08,22,67.9924654816822,4,Commercial
2018-05-07,NA,NA,4,Commercial
2018-05-06,27,171.5701517798982,5,Commercial
2018-05-05,16,85.24097312758433,2,Commercial
2018-05-04,NA,62.35723424312138,4,Commercial
2018-05-03,18,296.3770827947684,4,Commercial
2018-05-02,21,51.56852100928383,NA,Commercial
2018-05-01,13,NA,4,Commercial
2018-04-30,18,NA,4,Commercial
2018-04-29,18,73.12270814922705,4,Commercial
2018-04-28,25,853.3715411136453,NA,Commercial
2018-04-27,31,100.01155464771716,4,Commercial
2018-04-26,NA,149.62913449684248,3,Commercial
2018-04-25,33,101.78654263088707,5,Commercial
2018-04-24,28,48.683364950033656,4,Commercial
2018-04-23,18,132.9049341898965,5,Commercial
2018-04-22,34,468.7269212340894,7,Commercial
2018-04-21,NA,145.07983758871816,7,Commercial
2018-04-20,NA,197.94730613782113,5,Commercial
2018-04-19,14,NA,4,Commercial
2018-04-18,15,NA,4,Commercial
2018-04-17,19,32.23272567734172,5,Commercial
2018-04-16,25,NA,NA,Commercial
2018-04-15,19,50.565175320187784,3,Commercial
2018-04-14,24,27.6928427882609,6,Commercial
2018-04-13,24,72.40450720907646,NA,Commercial
2018-04-12,33,81.90270638994163,8,Commercial
2018-04-11,15,NA,4,Commercial
2018-04-10,19,35.62595453179039,4,Commercial
